year,fips,geo_title,10xx_naics_npo_employ,10xx_naics_npo_estab,10xx_naics_npo_salary,10xx_naics_npo_wages,10xx_naics_npo_weekly,10xx_naics_percent_npo,10xx_naics_priv_employ,10xx_naics_priv_estab,10xx_naics_priv_salary,10xx_naics_priv_wages,10xx_naics_priv_weekly,10xx_naics_wage_ratio_npo,61xx_naics_npo_employ,61xx_naics_npo_estab,61xx_naics_npo_salary,61xx_naics_npo_wages,61xx_naics_npo_weekly,61xx_naics_percent_npo,61xx_naics_priv_employ,61xx_naics_priv_estab,61xx_naics_priv_salary,61xx_naics_priv_wages,61xx_naics_priv_weekly,61xx_naics_wage_ratio_npo,62xx_naics_npo_employ,62xx_naics_npo_estab,62xx_naics_npo_salary,62xx_naics_npo_wages,62xx_naics_npo_weekly,62xx_naics_percent_npo,62xx_naics_priv_employ,62xx_naics_priv_estab,62xx_naics_priv_salary,62xx_naics_priv_wages,62xx_naics_priv_weekly,62xx_naics_wage_ratio_npo,71xx_naics_npo_employ,71xx_naics_npo_estab,71xx_naics_npo_salary,71xx_naics_npo_wages,71xx_naics_npo_weekly,71xx_naics_percent_npo,71xx_naics_priv_employ,71xx_naics_priv_estab,71xx_naics_priv_salary,71xx_naics_priv_wages,71xx_naics_priv_weekly,71xx_naics_wage_ratio_npo,81xx_naics_npo_employ,81xx_naics_npo_estab,81xx_naics_npo_salary,81xx_naics_npo_wages,81xx_naics_npo_weekly,81xx_naics_percent_npo,81xx_naics_priv_employ,81xx_naics_priv_estab,81xx_naics_priv_salary,81xx_naics_priv_wages,81xx_naics_priv_weekly,81xx_naics_wage_ratio_npo
2017,f-01003,"Baldwin County, Alabama",2987,107,35777,106865,688,0.0477110820049197,62606,5918,34475,2158349,663,1.03975704030922,,,,,,,,,,,,,2315,73,38395,88885,738,0.262680131623738,8813,556,42719,376474,822,0.867526774820371,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-01009,"Blount County, Alabama",274,20,43836,12011,843,0.0427523794663754,6409,707,33830,216802,651,1.31324146195327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-01015,"Calhoun County, Alabama",1075,60,31588,33957,607,0.0330423556894326,32534,2371,35402,1151785,681,0.889001463469549,,,,,,,,,,,,,635,38,34879,22148,671,0.147263450834879,4312,306,38949,167950,749,0.87962776152527,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-01019,"Cherokee County, Alabama",137,20,26419,3619,508,0.0364167995746943,3762,359,33363,125523,642,0.78562507434281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-01025,"Clarke County, Alabama",202,18,20268,4094,390,0.0320940578328567,6294,587,38674,243428,744,0.515908975207453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-01031,"Coffee County, Alabama",602,19,23482,14136,452,0.0459401709401709,13104,1006,32570,426804,626,0.711403296170625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-01033,"Colbert County, Alabama",289,32,24447,7065,470,0.0149919593297712,19277,1212,42129,812112,810,0.576620987334009,,,,,,,,,,,,,227,26,24948,5663,480,0.121455323702515,1869,125,47304,88399,910,0.49512771151289,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-01045,"Dale County, Alabama",379,18,32603,12356,627,0.032260810350698,11748,766,53308,626263,1025,0.603781621541539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-01047,"Dallas County, Alabama",407,41,25428,10349,489,0.0409209732555801,9946,748,37018,368167,712,0.677881154861241,,,,,,,,,,,,,220,27,27293,6004,525,0.123734533183352,1778,102,39734,70644,764,0.657837017040661,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-01049,"DeKalb County, Alabama",246,26,22961,5648,442,0.0138591549295775,17750,1078,36015,639252,693,0.63433433709976,,,,,,,,,,,,,160,20,24708,3953,475,0.0646987464617873,2473,134,35923,88829,691,0.673334241722305,,,,,,,,,,,,,,,,,,,,,,,,
