year,fips,geo_title,10xx_naics_npo_employ,10xx_naics_npo_estab,10xx_naics_npo_salary,10xx_naics_npo_wages,10xx_naics_npo_weekly,10xx_naics_percent_npo,10xx_naics_priv_employ,10xx_naics_priv_estab,10xx_naics_priv_salary,10xx_naics_priv_wages,10xx_naics_priv_weekly,10xx_naics_wage_ratio_npo,23xx_naics_npo_employ,23xx_naics_npo_estab,23xx_naics_npo_salary,23xx_naics_npo_wages,23xx_naics_npo_weekly,23xx_naics_percent_npo,23xx_naics_priv_employ,23xx_naics_priv_estab,23xx_naics_priv_salary,23xx_naics_priv_wages,23xx_naics_priv_weekly,23xx_naics_wage_ratio_npo,44xx_naics_npo_employ,44xx_naics_npo_estab,44xx_naics_npo_salary,44xx_naics_npo_wages,44xx_naics_npo_weekly,44xx_naics_percent_npo,44xx_naics_priv_employ,44xx_naics_priv_estab,44xx_naics_priv_salary,44xx_naics_priv_wages,44xx_naics_priv_weekly,44xx_naics_wage_ratio_npo,48xx_naics_npo_employ,48xx_naics_npo_estab,48xx_naics_npo_salary,48xx_naics_npo_wages,48xx_naics_npo_weekly,48xx_naics_percent_npo,48xx_naics_priv_employ,48xx_naics_priv_estab,48xx_naics_priv_salary,48xx_naics_priv_wages,48xx_naics_priv_weekly,48xx_naics_wage_ratio_npo,51xx_naics_npo_employ,51xx_naics_npo_estab,51xx_naics_npo_salary,51xx_naics_npo_wages,51xx_naics_npo_weekly,51xx_naics_percent_npo,51xx_naics_priv_employ,51xx_naics_priv_estab,51xx_naics_priv_salary,51xx_naics_priv_wages,51xx_naics_priv_weekly,51xx_naics_wage_ratio_npo,52xx_naics_npo_employ,52xx_naics_npo_estab,52xx_naics_npo_salary,52xx_naics_npo_wages,52xx_naics_npo_weekly,52xx_naics_percent_npo,52xx_naics_priv_employ,52xx_naics_priv_estab,52xx_naics_priv_salary,52xx_naics_priv_wages,52xx_naics_priv_weekly,52xx_naics_wage_ratio_npo,53xx_naics_npo_employ,53xx_naics_npo_estab,53xx_naics_npo_salary,53xx_naics_npo_wages,53xx_naics_npo_weekly,53xx_naics_percent_npo,53xx_naics_priv_employ,53xx_naics_priv_estab,53xx_naics_priv_salary,53xx_naics_priv_wages,53xx_naics_priv_weekly,53xx_naics_wage_ratio_npo,54xx_naics_npo_employ,54xx_naics_npo_estab,54xx_naics_npo_salary,54xx_naics_npo_wages,54xx_naics_npo_weekly,54xx_naics_percent_npo,54xx_naics_priv_employ,54xx_naics_priv_estab,54xx_naics_priv_salary,54xx_naics_priv_wages,54xx_naics_priv_weekly,54xx_naics_wage_ratio_npo,55xx_naics_npo_employ,55xx_naics_npo_estab,55xx_naics_npo_salary,55xx_naics_npo_wages,55xx_naics_npo_weekly,55xx_naics_percent_npo,55xx_naics_priv_employ,55xx_naics_priv_estab,55xx_naics_priv_salary,55xx_naics_priv_wages,55xx_naics_priv_weekly,55xx_naics_wage_ratio_npo,56xx_naics_npo_employ,56xx_naics_npo_estab,56xx_naics_npo_salary,56xx_naics_npo_wages,56xx_naics_npo_weekly,56xx_naics_percent_npo,56xx_naics_priv_employ,56xx_naics_priv_estab,56xx_naics_priv_salary,56xx_naics_priv_wages,56xx_naics_priv_weekly,56xx_naics_wage_ratio_npo,61xx_naics_npo_employ,61xx_naics_npo_estab,61xx_naics_npo_salary,61xx_naics_npo_wages,61xx_naics_npo_weekly,61xx_naics_percent_npo,61xx_naics_priv_employ,61xx_naics_priv_estab,61xx_naics_priv_salary,61xx_naics_priv_wages,61xx_naics_priv_weekly,61xx_naics_wage_ratio_npo,62xx_naics_npo_employ,62xx_naics_npo_estab,62xx_naics_npo_salary,62xx_naics_npo_wages,62xx_naics_npo_weekly,62xx_naics_percent_npo,62xx_naics_priv_employ,62xx_naics_priv_estab,62xx_naics_priv_salary,62xx_naics_priv_wages,62xx_naics_priv_weekly,62xx_naics_wage_ratio_npo,71xx_naics_npo_employ,71xx_naics_npo_estab,71xx_naics_npo_salary,71xx_naics_npo_wages,71xx_naics_npo_weekly,71xx_naics_percent_npo,71xx_naics_priv_employ,71xx_naics_priv_estab,71xx_naics_priv_salary,71xx_naics_priv_wages,71xx_naics_priv_weekly,71xx_naics_wage_ratio_npo,72xx_naics_npo_employ,72xx_naics_npo_estab,72xx_naics_npo_salary,72xx_naics_npo_wages,72xx_naics_npo_weekly,72xx_naics_percent_npo,72xx_naics_priv_employ,72xx_naics_priv_estab,72xx_naics_priv_salary,72xx_naics_priv_wages,72xx_naics_priv_weekly,72xx_naics_wage_ratio_npo
2019,f-01003,"Baldwin County, Alabama",3091,104,38115,117813,733,0.0464281422734919,66576,6310,37561,2500678,722,1.01547929876912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2383,70,40793,97210,784,0.249007314524556,9570,616,45050,431145,866,0.877967414932312,,,,,,,,,,,,,,,,,,,,,,,,
2019,f-01015,"Calhoun County, Alabama",1049,57,32297,33880,621,0.0323815403611668,32395,2397,37705,1221468,725,0.852478488095867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,34,35857,20976,690,0.142439737034332,4107,315,40158,164911,772,0.877407198962488,,,,,,,,,,,,,,,,,,,,,,,,
2019,f-01017,"Chambers County, Alabama",240,17,30202,7249,581,0.0361827227498869,6633,546,38321,254178,737,0.781949047224524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,f-01019,"Cherokee County, Alabama",267,22,38710,10335,744,0.0682340914899054,3913,369,34668,135656,667,1.12620737809845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,f-01021,"Chilton County, Alabama",320,15,39370,12599,757,0.041585445094217,7695,763,39381,303013,757,0.999796840875616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,f-01025,"Clarke County, Alabama",190,16,20708,3935,398,0.0305269922879177,6224,595,42433,264111,816,0.480263463054873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,f-01031,"Coffee County, Alabama",575,17,24467,14069,471,0.0417695772192358,13766,991,33931,467105,653,0.712409736780806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,f-01033,"Colbert County, Alabama",281,31,26117,7339,502,0.0142502155281708,19719,1260,43582,859378,838,0.595829626080807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,24,26482,5614,509,0.108218478815722,1959,142,47316,92688,910,0.531318967938686,,,,,,,,,,,,,,,,,,,,,,,,
2019,f-01045,"Dale County, Alabama",402,18,32950,13246,634,0.0328082918468946,12253,771,53949,661054,1037,0.602795360579562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,f-01047,"Dallas County, Alabama",307,33,29335,9006,564,0.0313265306122449,9800,759,40132,393281,772,0.724696756342795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,21,32825,5318,631,0.0923076923076923,1755,107,42203,74073,812,0.760542168674699,,,,,,,,,,,,,,,,,,,,,,,,
